iter	Passed	Remaining
0	101	101006
1	104	52152
2	107	35817
3	112	28024
4	115	23068
5	119	19763
6	122	17387
7	125	15563
8	127	14041
9	129	12858
10	131	11856
11	134	11067
12	138	10510
13	140	9914
14	142	9386
15	145	8932
16	147	8534
17	149	8162
18	152	7880
19	154	7570
20	155	7271
21	157	7003
22	159	6754
23	160	6526
24	162	6338
25	164	6147
26	166	6015
27	168	5849
28	170	5700
29	172	5563
30	173	5431
31	175	5304
32	176	5183
33	178	5071
34	181	5017
35	183	4921
36	185	4826
37	186	4733
38	188	4657
39	191	4597
40	193	4522
41	204	4659
42	212	4726
43	217	4723
44	222	4713
45	230	4788
46	232	4723
47	235	4666
48	238	4623
49	241	4594
50	243	4529
51	244	4464
52	246	4403
53	248	4347
54	249	4292
55	252	4264
56	255	4225
57	257	4179
58	259	4132
59	260	4082
60	262	4034
61	263	3988
62	265	3945
63	269	3945
64	271	3901
65	272	3858
66	274	3819
67	275	3769
68	276	3734
69	278	3697
70	279	3660
71	282	3639
72	285	3627
73	287	3594
74	288	3561
75	290	3527
76	291	3498
77	293	3468
78	295	3439
79	297	3423
80	300	3405
81	301	3380
82	303	3356
83	306	3339
84	307	3311
85	309	3288
86	313	3286
87	315	3266
88	316	3240
89	318	3216
90	319	3193
91	321	3171
92	322	3147
93	324	3123
94	329	3136
95	331	3119
96	332	3098
97	334	3075
98	335	3052
99	336	3031
100	338	3011
101	339	2984
102	343	2994
103	345	2978
104	347	2963
105	349	2944
106	350	2924
107	351	2904
108	352	2885
109	354	2866
110	361	2892
111	362	2877
112	365	2865
113	367	2853
114	368	2839
115	370	2821
116	375	2835
117	377	2820
118	378	2802
119	380	2787
120	381	2771
121	382	2756
122	383	2736
123	385	2720
124	390	2730
125	391	2717
126	393	2704
127	394	2686
128	395	2672
129	397	2658
130	398	2645
131	400	2630
132	405	2643
133	406	2629
134	408	2616
135	409	2603
136	411	2592
137	412	2578
138	414	2565
139	415	2552
140	420	2563
141	422	2552
142	423	2539
143	425	2526
144	426	2514
145	427	2503
146	429	2491
147	430	2479
148	434	2484
149	436	2473
150	437	2462
151	439	2451
152	440	2439
153	441	2427
154	443	2416
155	444	2404
156	445	2393
157	449	2396
158	451	2386
159	452	2375
160	453	2364
161	455	2354
162	456	2345
163	458	2335
164	459	2324
165	460	2314
166	463	2313
167	465	2307
168	467	2297
169	468	2287
170	469	2278
171	471	2268
172	472	2258
173	473	2249
174	475	2240
175	478	2240
176	480	2232
177	481	2225
178	484	2220
179	485	2212
180	486	2200
181	487	2193
182	494	2205
183	496	2200
184	497	2192
185	498	2183
186	500	2175
187	501	2166
188	503	2158
189	504	2149
190	505	2141
191	507	2135
192	508	2127
193	510	2119
194	511	2112
195	513	2104
196	514	2096
197	515	2088
198	516	2079
199	518	2072
200	519	2065
201	520	2057
202	522	2051
203	523	2043
204	524	2035
205	526	2028
206	527	2021
207	529	2014
208	530	2007
209	531	1999
210	532	1992
211	534	1985
212	535	1978
213	536	1972
214	538	1965
215	539	1958
216	540	1951
217	542	1944
218	543	1937
219	544	1931
220	546	1925
221	547	1918
222	548	1911
223	549	1905
224	551	1898
225	552	1892
226	554	1887
227	555	1881
228	556	1874
229	557	1868
230	559	1861
231	560	1855
232	561	1849
233	563	1843
234	564	1838
235	565	1832
236	567	1825
237	568	1820
238	569	1814
239	571	1808
240	572	1802
241	573	1797
242	575	1791
243	576	1785
244	577	1779
245	578	1773
246	580	1768
247	582	1766
248	584	1761
249	585	1756
250	587	1751
251	588	1746
252	590	1743
253	592	1738
254	593	1734
255	594	1728
256	596	1724
257	597	1719
258	599	1714
259	600	1710
260	602	1705
261	603	1700
262	605	1696
263	606	1691
264	608	1687
265	609	1683
266	611	1678
267	612	1673
268	614	1669
269	615	1664
270	617	1660
271	618	1656
272	620	1651
273	621	1647
274	623	1642
275	624	1638
276	626	1634
277	627	1630
278	629	1626
279	630	1621
280	632	1617
281	634	1614
282	636	1613
283	638	1609
284	640	1605
285	641	1601
286	643	1597
287	644	1593
288	646	1589
289	647	1585
290	648	1581
291	650	1577
292	652	1573
293	653	1569
294	655	1566
295	656	1562
296	658	1558
297	659	1554
298	661	1551
299	663	1547
300	664	1543
301	665	1538
302	667	1535
303	669	1532
304	671	1530
305	673	1528
306	675	1525
307	677	1521
308	682	1525
309	685	1526
310	687	1523
311	689	1520
312	692	1520
313	694	1517
314	696	1514
315	698	1511
316	699	1508
317	701	1504
318	703	1501
319	705	1499
320	707	1495
321	708	1492
322	710	1489
323	711	1485
324	713	1481
325	715	1478
326	716	1475
327	718	1471
328	719	1468
329	721	1464
330	722	1460
331	725	1459
332	728	1458
333	730	1456
334	732	1453
335	734	1451
336	735	1447
337	737	1444
338	738	1440
339	740	1437
340	743	1436
341	744	1433
342	748	1432
343	751	1432
344	754	1433
345	756	1429
346	758	1426
347	762	1428
348	765	1427
349	766	1423
350	769	1422
351	772	1422
352	774	1419
353	776	1416
354	778	1414
355	780	1411
356	781	1407
357	783	1404
358	784	1400
359	786	1397
360	787	1394
361	789	1390
362	790	1387
